case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_core,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_core,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
banba_cal,SKY130-BGR-banba_cal,7,11,323345,FA,40,-21.30925,21.30925,0,1,0.8017512,30.36686,47.2615,69.319,25.1893,31.52104,0,0,0,0,0,0,20.0,1,-21.30925,21.30925,0.8017512,30.36686,47.2615,69.319,25.1893,31.52104,21291.033103719357,150000,150000,16578.0,-21.27533885265901,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,21.30925,39.64737,21.30925,39.64737,1,9.55,9.825,26.71,33.115,7.965000000000001,1.522002627901578,0.9000015238949811,9.55,9.825,26.71,33.115,7.965000000000001,1.522002627901578,0.9000015238949811,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,12,324345,FA,40,-22.14115,22.14115,0,1,0.8008466,30.36484,47.2627,73.132,26.7168,42.49926,0,0,0,0,0,0,30.0,1,-22.14115,22.14115,0.8008466,30.36484,47.2627,73.132,26.7168,42.49926,41661.69096315652,150000,150000,17350.0,-22.07210116375776,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,22.14115,44.07506,22.14115,44.07506,1,4.885,1.0,22.59,22.2,6.485,5.348897772299355,0.9414692103777212,4.885,1.0,22.59,22.2,6.485,5.348897772299355,0.9414692103777212,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,13,325345,FA,40,-21.26225,21.26225,0,1,0.8017523,29.87094,47.3085,67.437,24.5762,31.15928,0,0,0,0,0,0,20.0,1,-21.26225,21.26225,0.8017523,29.87094,47.3085,67.437,24.5762,31.15928,22008.36759436876,150000,150000,17915.0,-21.212358418475795,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,21.26225,39.3421,21.26225,39.3421,1,10.38,13.0,31.55,36.315,8.0,1.3956086321146708,0.9001650206685488,10.38,13.0,31.55,36.315,8.0,1.3956086321146708,0.9001650206685488,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,14,326345,FA,40,-21.31062,21.31062,0,1,0.8017529,29.97069,47.2615,66.51,25.6129,30.77289,0,0,0,0,0,0,43.0,1,-21.31062,21.31062,0.8017529,29.97069,47.2615,66.51,25.6129,30.77289,17539.817540682852,150000,150000,11655.0,-17.95186827572184,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,21.31062,38.9449,21.31062,38.9449,1,11.435,11.635,37.49,38.455,8.0,1.2609742876557215,0.9,11.435,11.635,37.49,38.455,8.0,1.2609742876557215,0.9,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,15,327345,FA,40,-21.28768,21.28768,0,1,0.8017353,30.3342,47.2615,66.835,25.9171,30.75957,0,0,0,0,0,0,29.0,1,-21.28768,21.28768,0.8017353,30.3342,47.2615,66.835,25.9171,30.75957,15966.428899124265,150000,150000,14776.0,-21.259763363622422,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,21.28768,39.01913,21.28768,39.01913,1,11.965,9.44,35.715,36.61,8.0,1.2569596286342866,0.9000170571862636,11.965,9.44,35.715,36.61,8.0,1.2569596286342866,0.9000170571862636,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,16,328345,FA,40,-21.11891,21.11891,0,1,0.8017417,30.37705,47.2615,67.551,26.7147,30.81897,0,0,0,0,0,0,97.0,1,-21.11891,21.11891,0.8017417,30.37705,47.2615,67.551,26.7147,30.81897,48939.82802085578,150000,150000,13667.0,-19.418657520550138,150001,149996,timeout=5,0,PSRR_worst_case_10Hz_10MHz,21.11891,39.03605,21.11891,39.03605,1,11.45,8.01,35.65,36.685,7.955000000000001,1.2775263011373588,0.9273514755270956,11.45,8.01,35.65,36.685,7.955000000000001,1.2775263011373588,0.9273514755270956,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,17,329345,FA,40,-22.39934,22.39934,0,1,0.8000952,30.37517,47.2652,69.63,27.2077,40.64234,0,0,0,0,0,0,433.0,1,-22.39934,22.39934,0.8000952,30.37517,47.2652,69.63,27.2077,40.64234,48269.18459650874,150000,150000,9305.0,-20.67906696914646,150001,150000,no_convergence=1,0,PSRR_worst_case_10Hz_10MHz,22.39934,43.99668,22.39934,43.99668,1,5.285,1.0,31.125,20.72,6.1850000000000005,4.713864615874007,0.9334154307363142,5.285,1.0,31.125,20.72,6.1850000000000005,4.713864615874007,0.9334154307363142,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,18,330345,FA,40,-22.49214,22.49214,0,1,0.8000506,30.3799,47.2623,69.613,28.3399,40.66493,0,0,0,0,0,0,83.0,1,-22.49214,22.49214,0.8000506,30.3799,47.2623,69.613,28.3399,40.66493,15141.931227087976,150000,150000,13224.0,-20.73583028593524,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,22.49214,43.74821,22.49214,43.74821,1,4.82,1.0,37.34,22.585,6.000000000000001,4.722073579637416,0.97000956972847,4.82,1.0,37.34,22.585,6.000000000000001,4.722073579637416,0.97000956972847,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,19,331345,FA,40,-22.33176,22.33176,0,1,0.8002155,30.36531,47.2615,70.211,27.1812,40.40474,0,0,0,0,0,0,21.0,1,-22.33176,22.33176,0.8002155,30.36531,47.2615,70.211,27.1812,40.40474,49505.34824087471,150000,150000,16233.0,-22.21406054197028,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,22.33176,43.89826,22.33176,43.89826,1,5.32,1.0,29.155,20.95,6.275,4.629740589392068,0.9214803749034924,5.32,1.0,29.155,20.95,6.275,4.629740589392068,0.9214803749034924,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,20,332345,FA,40,-49.19529,49.19529,0,1,0.7995676,26.69852,53.1001,54.362,18.275,69.5084,0,0,0,0,0,0,65.0,1,-49.19529,49.19529,0.7995676,26.69852,53.1001,54.362,18.275,69.5084,36224.34209989011,150000,150000,18887.0,-47.38328654770031,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,49.19529,49.19529,49.19529,49.19529,1,3.195,1.56,10.625,15.63,0.735,14.724511592183458,1.1389120253050502,3.195,1.56,10.625,15.63,0.735,14.724511592183458,1.1389120253050502,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,21,333345,FA,40,-21.19904,21.19904,0,1,0.8017529,29.44533,47.2615,67.668,24.4072,31.30292,0,0,0,0,0,0,26.0,1,-21.19904,21.19904,0.8017529,29.44533,47.2615,67.668,24.4072,31.30292,19139.947160325944,150000,150000,18636.0,-21.132438261155077,150001,150000,timeout=1,0,PSRR_worst_case_10Hz_10MHz,21.19904,39.352,21.19904,39.352,1,9.585,14.82,31.87,37.46,7.995,1.4452288250217709,0.9000053611808008,9.585,14.82,31.87,37.46,7.995,1.4452288250217709,0.9000053611808008,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,22,334345,FA,40,-22.56628,22.56628,0,1,0.7998873,30.37549,47.2628,69.003,27.8273,43.19838,0,0,0,0,0,0,24.0,1,-22.56628,22.56628,0.7998873,30.37549,47.2628,69.003,27.8273,43.19838,19832.62275776267,150000,150000,15597.0,-22.4766624957833,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,22.56628,44.39298,22.56628,44.39298,1,4.635,1.0,39.985,21.875,5.835000000000001,5.604156074375037,1.0453454812017178,4.635,1.0,39.985,21.875,5.835000000000001,5.604156074375037,1.0453454812017178,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
banba_cal,SKY130-BGR-banba_cal,7,23,335345,FA,40,-21.25625,21.25625,0,1,0.8017494,30.38054,47.2615,67.857,25.5685,31.13215,0,0,0,0,0,0,7.0,1,-21.25625,21.25625,0.8017494,30.38054,47.2615,67.857,25.5685,31.13215,20185.09301173687,150000,150000,15971.0,-21.22595486596577,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,21.25625,39.28512,21.25625,39.28512,1,10.185,10.575,31.965,35.31,7.895,1.38653601774386,0.9002072355615863,10.185,10.575,31.965,35.31,7.895,1.38653601774386,0.9002072355615863,0.798247,0.801753,30.3807,47.2615,49.5341,13.4226,69.5084
