w_pdiff,w_ncasc,w_pmir,w_core,l_all,iss,vbnv,PSRR_DB,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,PSRR_100HZ_DB,sim_ok,sim_failure
11.956413575898567,31.41973179566618,21.49731569281108,15.270960384803534,2.902114957928347,21.64381672431496,0.9379455787354191,2.386483,0.8016796,38.86084,62.1829,16.14500000000001,3.12174,89.43764,54.61982,1,
39.19126561542553,18.721734387787198,14.832006689256731,58.79976689570615,4.714101261377434,27.12786019794015,1.1733248409570751,-21.1448,0.8018895,30.11599,65.179,10.917000000000002,2.1872,105.2556,53.35826,1,
20.123622153114457,17.809176377939902,36.33453037952561,28.805417524604124,7.612457684467688,12.26246964653219,1.6613751472791098,-8.12746,0.7988893,20.35022,45.0431,55.387,17.692,62.35189,51.85901,1,
15.635240483665187,34.03013495309584,17.71317709419971,27.668393064519368,5.812840894759398,12.95031481806635,1.6069203479945025,-12.1381,0.8017511,29.11884,49.2134,59.769000000000005,21.4545,64.42238,52.95274,1,
22.059591507098716,39.99161366860671,34.210071548807605,21.186617361448747,1.2637844549296664,20.90167334573578,1.6921329710353177,-1.57864,0.8000869,22.36121,54.9118,27.912000000000006,11.2594,87.27248,54.72848,1,
15.969211772263806,27.322434306145954,6.877846283767042,17.669247134901845,7.3910984984441725,39.25722010243034,1.469151247876444,-10.9255,0.8118587,41.24244,46.0628,52.125,16.5962,140.5292,74.86042,1,
36.6654658820902,5.116311096463298,27.469539086542525,51.00109922348588,0.7121171334318905,19.429645576854615,0.9243245670750866,9.491142,0.7986878,33.56187,58.4626,7.3160000000000025,2.0516,83.04262,52.09966,1,
15.010903338754852,27.423195258200284,35.38552023395169,42.82861941908717,3.23471787866207,25.043307664305477,1.1267531514731046,-5.48188,0.801952,40.39915,64.9119,29.945999999999998,5.94756,99.23859,56.07792,1,
8.730070137009545,11.095729245462412,34.07141184615791,11.482021541551118,6.717073427082637,36.5325293382846,1.0124210895939036,5.89145,0.8000884,23.14517,44.6251,46.638000000000005,10.8161,132.2723,52.68552,1,
14.370705515476383,29.503218529599867,31.087803457465416,8.574847210697563,4.275600074768449,10.408908011920783,1.3000605523169004,-12.8402,0.8004204,39.56254,52.5954,57.034000000000006,21.7651,57.03426,42.65224,1,
21.340876179476698,21.61457111262029,38.923687545485876,52.98170604331092,0.9828128906525736,15.345582428505843,1.667206491866446,5.232503,0.8000316,16.80085,53.6604,32.041,10.8062,71.29136,52.48335,1,
2.411999884486934,22.94311447924862,16.068103105752847,34.55931453078996,1.5375590607090115,37.18254088670327,1.1601863259976821,13.61369,0.8039884,39.00403,53.9682,61.126999999999995,15.0966,134.2881,52.87326,1,
34.10192155001812,10.69887294359912,10.534336675164997,56.49736857514309,7.475042680955733,20.390839069748377,0.9221237050403343,-4.9813,0.8019546,17.95688,59.2227,34.21199999999999,6.21134,85.8816,60.29201,1,
14.192105024779126,35.933669424375495,7.481675825008798,34.011556215440095,1.1654605501555129,32.43234766360479,1.6669410495231727,4.80466,0.8044217,46.50207,53.1975,31.914999999999992,12.5657,120.6363,51.41913,1,
16.923868279377487,29.866741893580926,13.570147707892872,18.32995115592708,4.630131599673998,12.273723936487063,1.5816693514545608,-13.2767,0.8017575,37.08217,53.3197,54.903999999999996,19.7079,62.45852,53.29418,1,
13.565271872718414,1.34738827844381,14.606126081100241,47.87883107136794,6.754818506035539,9.58978391723353,0.9208906400023767,13.59794,0.8019454,22.42728,54.8075,66.258,15.9844,54.76693,50.81612,1,
21.69859522944534,32.032059949563504,35.59410807082886,57.86174305637278,7.323644348973454,21.428381812213388,1.5614131941906646,-9.95268,0.8025322,18.79959,48.0458,53.854,15.3856,88.88951,59.5099,1,
28.00531893580885,3.8332534962836133,16.20081053352787,58.38210725725025,6.217187032944702,35.16366169007261,1.1684789055709401,-8.55407,0.8028152,20.90749,58.9609,29.295999999999992,5.46709,128.4501,48.10863,1,
14.745544028931539,16.528558090502923,10.249838014131557,43.010685590276566,6.577621633454709,29.467922340938838,1.2889287797162925,-6.34071,0.8066675,23.45377,54.4974,50.589,12.1778,112.1743,39.53535,1,
9.755581730730757,3.323430532523744,35.66293818369872,12.325464837102329,3.958122020460181,20.1329725694717,1.056171295255174,2.250242,0.8016485,40.81892,60.3076,37.488,9.99062,85.0799,52.93228,1,
11.348178539528632,25.78738382813182,16.33118569076062,34.811072925157106,2.7525820695873406,24.634761510275553,1.5149684057171307,-11.4955,0.8029369,43.9153,57.6741,48.59700000000001,14.4901,98.09784,57.6752,1,
34.47386961501441,22.51761155150908,31.57402517850024,43.452559138862924,5.962877956410472,5.9956522167446495,0.9505671276658293,0.8394052,0.8006681,23.92169,56.7325,37.81100000000001,7.94861,44.36487,51.59846,1,
7.874053772814833,36.73062687678172,26.341801338185707,30.827492739105956,7.809724235879497,27.847515177610006,1.259522771134856,-8.64464,0.8043351,10.56246,45.2981,66.146,20.456,107.425,46.07712,1,
