comparison,p_value,n_pairs,holm_adjusted_p,holm_reject_0_05
ABC vs GWO,3.882182386005795e-06,30,1.552872954402318e-05,1
ABC vs FA,1.9209211048476504e-06,30,9.604605524238252e-06,1
ABC vs PSO,0.12543823902980833,30,0.12543823902980833,0
ABC vs GA,0.004681835234144671,30,0.009485294809966627,1
ABC vs ACO,0.0031617649366555423,30,0.009485294809966627,1
