algo,avg_rank,median_rank
ABC,2.933333333333333,3.0
GWO,1.4333333333333333,1.0
FA,5.766666666666667,6.0
PSO,3.2333333333333334,4.0
GA,3.933333333333333,4.0
ACO,3.7,3.5
