label,dim,pop,budget,seed_base,chi2,p,rho_published,rho_spice,ordering,rank_ABC,rank_GWO,rank_FA,rank_PSO,rank_GA,rank_ACO,success_ABC,success_GWO,success_FA,success_PSO,success_GA,success_ACO,scouts_per_run,trial_high_water,limit,generations
validate,12,40,150000,42,46.431297709923676,7.419144641205529e-09,1.0,-0.14285714285714288,ABC  <  PSO  <  GA  <  ACO  <  FA  <  GWO,2.3,4.933333333333334,4.633333333333334,3.0,3.033333333333333,3.1,0.8666666666666667,0.4,0.5333333333333333,0.8,0.6666666666666666,0.5333333333333333,,,,
control_SN40,7,40,2500,42,35.12380952380954,1.421424879491346e-06,0.942857142857143,0.028571428571428574,ABC  <  PSO  <  ACO  <  GA  <  FA  <  GWO,2.3,4.733333333333333,4.133333333333334,2.6666666666666665,3.7,3.466666666666667,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8666666666666667,0.0,129.0,168.0,31.0
control_SN40,7,40,2500,777,50.38095238095241,1.1580534537539832e-09,0.6571428571428573,0.08571428571428573,PSO  <  ACO  <  ABC  <  GA  <  GWO  <  FA,2.9,4.766666666666667,4.8,2.1666666666666665,3.533333333333333,2.8333333333333335,1.0,0.9333333333333333,0.7666666666666667,0.8666666666666667,0.7333333333333333,0.9,0.0,125.0,168.0,31.0
control_SN40,7,40,2500,20260806,40.891325071496766,9.869233831416958e-08,0.8857142857142858,-0.08571428571428573,PSO  <  ABC  <  ACO  <  GA  <  FA  <  GWO,2.6333333333333333,4.75,4.35,2.466666666666667,3.966666666666667,2.8333333333333335,0.8666666666666667,0.8,0.7333333333333333,0.7333333333333333,0.5333333333333333,0.8666666666666667,0.0,138.0,168.0,31.0
control_SN40,7,40,2500,999983,32.933333333333394,3.879900297911112e-06,0.8986451052612952,0.057977103565244846,ABC  <  PSO  <  ACO  <  GA  <  FA  <  GWO,2.6333333333333333,4.666666666666667,4.5,2.9,3.4,2.9,0.9,0.7666666666666667,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.8,0.0,148.0,168.0,31.0
control_SN20,7,20,2500,42,33.75238095238103,2.6671074082616396e-06,0.5428571428571429,0.08571428571428573,ACO  <  ABC  <  PSO  <  FA  <  GA  <  GWO,2.6,4.8,3.8333333333333335,3.1333333333333333,4.066666666666666,2.566666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.4666666666666667,0.7666666666666667,0.375,96.0,84.0,62.0
control_SN20,7,20,2500,777,42.723809523809564,4.2033027582690067e-08,0.48571428571428577,-0.028571428571428574,ACO  <  PSO  <  ABC  <  FA  <  GA  <  GWO,3.2333333333333334,5.0,3.6666666666666665,2.6333333333333333,4.166666666666667,2.3,0.9666666666666667,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.25,103.0,84.0,62.0
control_SN20,7,20,2500,20260806,46.22857142857151,8.159151973142408e-09,0.7142857142857143,0.14285714285714288,ABC  <  ACO  <  PSO  <  FA  <  GA  <  GWO,2.2,4.966666666666667,3.966666666666667,3.0,4.166666666666667,2.7,0.8666666666666667,0.7666666666666667,0.7666666666666667,0.7,0.5,0.7,0.375,93.0,84.0,62.0
control_SN20,7,20,2500,999983,38.17142857142858,3.485552514787177e-07,0.5428571428571429,0.08571428571428573,ACO  <  ABC  <  PSO  <  FA  <  GA  <  GWO,2.7333333333333334,4.866666666666666,3.966666666666667,2.933333333333333,4.066666666666666,2.433333333333333,0.8333333333333334,0.5333333333333333,0.6,0.6,0.43333333333333335,0.7333333333333333,0.5,100.0,84.0,62.0
sn_sweep,7,6,2500,42,47.180952380952476,5.2187488619066e-09,0.8285714285714287,0.08571428571428573,ABC  <  ACO  <  PSO  <  GA  <  FA  <  GWO,2.033333333333333,5.2,3.966666666666667,3.1666666666666665,3.5,3.1333333333333333,0.8333333333333334,0.5,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.5666666666666667,7.5,31.0,25.0,208.0
sn_sweep,7,10,2500,42,36.87619047619057,6.341694912207065e-07,0.5428571428571429,0.08571428571428573,ACO  <  ABC  <  PSO  <  FA  <  GA  <  GWO,2.6,4.966666666666667,3.7,3.533333333333333,3.8,2.4,0.9333333333333333,0.6,0.7,0.4666666666666667,0.4666666666666667,0.7333333333333333,2.125,51.0,42.0,125.0
sn_sweep,7,12,2500,42,42.47619047619048,4.717883515180713e-08,0.5428571428571429,0.08571428571428573,ACO  <  ABC  <  PSO  <  FA  <  GA  <  GWO,2.533333333333333,4.966666666666667,3.933333333333333,3.2333333333333334,4.0,2.3333333333333335,0.8666666666666667,0.6666666666666666,0.6333333333333333,0.5333333333333333,0.36666666666666664,0.7666666666666667,1.5,60.0,50.0,104.0
sn_sweep,7,16,2500,42,45.390476190476306,1.208439461746986e-08,0.6571428571428573,0.028571428571428574,ACO  <  ABC  <  PSO  <  GA  <  FA  <  GWO,2.8,4.833333333333333,4.0,3.5,3.966666666666667,1.9,0.9,0.7333333333333333,0.6666666666666666,0.5,0.5,0.7666666666666667,0.875,80.0,67.0,78.0
sn_sweep,7,20,2500,42,33.75238095238103,2.6671074082616396e-06,0.5428571428571429,0.08571428571428573,ACO  <  ABC  <  PSO  <  FA  <  GA  <  GWO,2.6,4.8,3.8333333333333335,3.1333333333333333,4.066666666666666,2.566666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.5666666666666667,0.4666666666666667,0.7666666666666667,0.375,96.0,84.0,62.0
sn_sweep,7,30,2500,42,47.80952380952385,3.884547213220277e-09,0.5428571428571429,0.14285714285714288,ACO  <  PSO  <  ABC  <  GA  <  GWO  <  FA,2.6666666666666665,4.6,4.9,2.6333333333333333,3.6666666666666665,2.533333333333333,0.9,0.8,0.6333333333333333,0.6,0.6333333333333333,0.8333333333333334,0.375,154.0,126.0,41.0
sn_sweep,7,40,2500,42,35.12380952380954,1.421424879491346e-06,0.942857142857143,0.028571428571428574,ABC  <  PSO  <  ACO  <  GA  <  FA  <  GWO,2.3,4.733333333333333,4.133333333333334,2.6666666666666665,3.7,3.466666666666667,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8666666666666667,0.0,129.0,168.0,31.0
budget_sweep,7,40,2500,42,35.12380952380954,1.421424879491346e-06,0.942857142857143,0.028571428571428574,ABC  <  PSO  <  ACO  <  GA  <  FA  <  GWO,2.3,4.733333333333333,4.133333333333334,2.6666666666666665,3.7,3.466666666666667,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.8666666666666667,0.0,129.0,168.0,31.0
budget_sweep,7,40,5000,42,36.933333333333394,6.176643383456245e-07,0.7142857142857143,0.14285714285714288,ABC  <  ACO  <  PSO  <  FA  <  GA  <  GWO,2.466666666666667,4.6,4.066666666666666,3.066666666666667,4.266666666666667,2.533333333333333,0.9333333333333333,0.8,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.8666666666666667,0.25,188.0,168.0,62.0
budget_sweep,7,40,10000,42,48.41904761904766,2.916763201121007e-09,0.7142857142857143,0.14285714285714288,ABC  <  ACO  <  PSO  <  FA  <  GA  <  GWO,2.2,4.833333333333333,4.033333333333333,3.1333333333333333,4.333333333333333,2.466666666666667,0.9333333333333333,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.8666666666666667,0.5,188.0,168.0,125.0
budget_sweep,7,40,20000,42,44.38095238095241,1.9383205489987842e-08,0.7142857142857143,0.14285714285714288,ABC  <  ACO  <  PSO  <  FA  <  GA  <  GWO,2.2666666666666666,4.733333333333333,4.133333333333334,2.966666666666667,4.3,2.6,0.9333333333333333,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.8666666666666667,0.875,188.0,168.0,250.0
budget_sweep,7,40,40000,42,54.56148713060066,1.6066636023331427e-10,0.8285714285714287,0.08571428571428573,ABC  <  ACO  <  PSO  <  GA  <  FA  <  GWO,1.95,4.833333333333333,4.3,2.966666666666667,4.266666666666667,2.683333333333333,0.9333333333333333,0.8,0.6666666666666666,0.6666666666666666,0.6,0.9,4.0,188.0,168.0,500.0
budget_sweep,7,40,80000,42,54.703349282296685,1.5022797687421105e-10,0.8285714285714287,0.08571428571428573,ABC  <  ACO  <  PSO  <  GA  <  FA  <  GWO,1.75,4.8,4.333333333333333,3.183333333333333,4.1,2.8333333333333335,0.9666666666666667,0.8,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.9,17.375,208.0,168.0,1000.0
