case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_pass,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_pass,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
base,SKY130-BGR,7,15,327345,ABC,40,-55.04669,55.04669,0,1,1.221397,19.66948,50.1558,63.735,15.5893,48.07271,0,0,0,0,0,0,1.0,1,-55.04669,55.04669,1.221397,19.66948,50.1558,63.735,15.5893,48.07271,17370.649560688064,150000,150000,27724.0,-54.28585827685519,150001,149997,measure_failed=4,0,PSRR_worst_case_10Hz_10MHz,55.04669,55.04669,55.04669,55.04669,1,4.785,1.035,1.07,25.97,0.6,10.260511384391917,1.2217405307117009,4.785,1.035,1.07,25.97,0.6,10.260511384391917,1.2217405307117009,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,16,328345,ABC,40,-55.01418,55.01418,0,1,1.221377,19.56063,50.0249,63.672,15.5195,44.87107,0,0,0,0,0,0,30.0,1,-55.01418,55.01418,1.221377,19.56063,50.0249,63.672,15.5195,44.87107,18566.808370240036,150000,150000,110923.0,-53.76310769166128,150001,149988,measure_failed=13,0,PSRR_worst_case_10Hz_10MHz,55.01418,55.01418,55.01418,55.01418,1,5.505,1.0,1.0,27.815,0.5650000000000001,9.148967235327037,1.2455570674513623,5.505,1.0,1.0,27.815,0.5650000000000001,9.148967235327037,1.2455570674513623,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,17,329345,ABC,40,-54.80555,54.80555,0,1,1.221396,19.35192,50.2613,63.551,15.4739,45.87086,0,0,0,0,0,0,40.0,1,-54.80555,54.80555,1.221396,19.35192,50.2613,63.551,15.4739,45.87086,18116.51522533223,150000,150000,69915.0,-53.72941909266061,150001,149999,measure_failed=2,0,PSRR_worst_case_10Hz_10MHz,54.80555,54.81874,54.80555,54.81874,1,5.455,1.0,1.0,28.225,0.575,9.495910633668544,1.213225750874733,5.455,1.0,1.0,28.225,0.575,9.495910633668544,1.213225750874733,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,18,330345,ABC,40,-54.87043,54.87043,0,1,1.221386,19.41163,50.2435,63.626000000000005,15.5005,45.73451,0,0,0,0,0,0,70.0,1,-54.87043,54.87043,1.221386,19.41163,50.2435,63.626000000000005,15.5005,45.73451,18146.236886586998,150000,150000,63040.0,-52.18609719754798,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,54.87043,54.87043,54.87043,54.87043,1,5.42,1.0,1.0,28.04,0.575,9.448688354315212,1.219740115031685,5.42,1.0,1.0,28.04,0.575,9.448688354315212,1.219740115031685,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,19,331345,ABC,40,-55.13629,55.13629,0,1,1.221377,19.62514,50.2138,63.877,15.6447,46.46468,0,0,0,0,0,0,349.0,1,-55.13629,55.13629,1.221377,19.62514,50.2138,63.877,15.6447,46.46468,17540.576803116128,150000,150000,78975.0,-52.24895900898673,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,55.13629,55.13629,55.13629,55.13629,1,5.03,1.0,1.0,26.505,0.585,9.702369817361166,1.2302598781462044,5.03,1.0,1.0,26.505,0.585,9.702369817361166,1.2302598781462044,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,20,332345,ABC,40,-54.2622,54.2622,0,1,1.221393,19.69932,50.0686,64.394,15.8191,47.70661,0,0,0,0,0,0,41.0,1,-54.2622,54.2622,1.221393,19.69932,50.0686,64.394,15.8191,47.70661,17460.753328520805,150000,150000,141035.0,-51.75884781108874,150001,149988,measure_failed=13,0,PSRR_worst_case_10Hz_10MHz,54.2622,54.2622,54.2622,54.2622,1,4.145,1.605,1.0,23.585,0.615,10.133514295040223,1.2352826739843616,4.145,1.605,1.0,23.585,0.615,10.133514295040223,1.2352826739843616,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,21,333345,ABC,40,-55.00653,55.00653,0,1,1.22139,19.56043,50.2292,63.95399999999999,15.6817,46.45798,0,0,0,0,0,0,197.0,1,-55.00653,55.00653,1.22139,19.56043,50.2292,63.95399999999999,15.6817,46.45798,17302.622218500823,150000,150000,99874.0,-51.09262102686685,150001,149983,measure_failed=18,0,PSRR_worst_case_10Hz_10MHz,55.00653,55.00653,55.00653,55.00653,1,5.03,1.0,1.0,26.79,0.585,9.699881731156642,1.2246429169097697,5.03,1.0,1.0,26.79,0.585,9.699881731156642,1.2246429169097697,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,22,334345,ABC,40,-55.15317,55.15317,0,1,1.221394,19.5951,50.1499,63.721,15.5485,46.95862,0,0,0,0,0,0,6.0,1,-55.15317,55.15317,1.221394,19.5951,50.1499,63.721,15.5485,46.95862,17787.66733783856,150000,150000,30692.0,-54.20096023299156,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,55.15317,55.15317,55.15317,55.15317,1,4.984999999999999,1.0,1.0,26.06,0.585,9.873683682252391,1.2263937830781793,4.984999999999999,1.0,1.0,26.06,0.585,9.873683682252391,1.2263937830781793,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,23,335345,ABC,40,-55.26325,55.26325,0,1,1.221288,19.99379,50.3073,64.968,16.1211,46.00363,0,0,0,0,0,0,285.0,1,-55.26325,55.26325,1.221288,19.99379,50.3073,64.968,16.1211,46.00363,19480.72575841099,150000,150000,76326.0,-52.79420135467571,150001,149999,measure_failed=2,0,PSRR_worst_case_10Hz_10MHz,55.26325,55.26325,55.26325,55.26325,1,4.46,1.0,1.0,24.645,0.61,9.543391736998244,1.2695303859212377,4.46,1.0,1.0,24.645,0.61,9.543391736998244,1.2695303859212377,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
base,SKY130-BGR,7,24,336345,ABC,40,-55.02999,55.02999,0,1,1.221044,20.83165,50.2289,64.732,15.9934,41.66572,0,0,0,0,0,0,3.0,1,-55.02999,55.02999,1.221044,20.83165,50.2289,64.732,15.9934,41.66572,18012.268481677398,150000,150000,94987.0,-53.94811131953747,150001,149982,measure_failed=19,0,PSRR_worst_case_10Hz_10MHz,55.02999,55.02999,55.02999,55.02999,1,5.28,1.0,1.0,25.37,0.575,8.039947105821678,1.3037776475640848,5.28,1.0,1.0,25.37,0.575,8.039947105821678,1.3037776475640848,1.2184,1.2214,26.0,50.0,60.0,14.0,55.0
