algo,avg_rank,median_rank
ABC,4.333333333333333,4.0
GWO,1.1666666666666667,1.0
FA,5.766666666666667,6.0
PSO,3.533333333333333,3.0
GA,3.7666666666666666,3.5
ACO,2.433333333333333,2.0
