algo,runs,success_rate,feasible_runs,ever_feasible_rate,best_fitness_min,best_fitness_mean,best_fitness_median,best_fitness_std,PSRR_best_final,PSRR_mean_final,PSRR_mean_feasible_final,best_feasible_PSRR_max,best_feasible_PSRR_mean,best_feasible_fitness_mean,runtime_sec_mean,runtime_sec_std,first_feasible_eval_mean,first_feasible_eval_median,last_improvement_eval_mean,last_improvement_eval_median,convergence_auc_mean,convergence_auc_std
ABC,30,1.0,30,1.0,-50.89986,-50.48319533333334,-50.515209999999996,0.23277962555606735,50.89986,50.48319533333334,50.48319533333334,50.89986,50.48319533333334,-50.48319533333334,16295.117612175394,559.471522883024,293.06666666666666,268.5,96456.66666666667,102691.0,-45.395151676450446,2.1952612933909297
GWO,30,1.0,30,1.0,-51.13224,-51.102634333333334,-51.115915,0.028334927719170344,51.13224,51.102634333333334,51.102634333333334,51.13224,51.102634333333334,-51.102634333333334,23031.252131651217,648.8693711511698,98.53333333333333,95.0,149584.0,149940.0,-45.13071750580429,1.1159770476522204
FA,30,1.0,30,1.0,-50.80658,-34.994955,-27.9396,10.71610302103777,50.80658,34.994955,34.994955,50.80658,34.994955,-34.994955,2612.9558656369027,497.0237524949461,84.96666666666667,61.5,15312.4,14574.5,-32.3215394095803,10.841293853967528
PSO,30,1.0,30,1.0,-51.13335,-47.99232300000001,-50.57875,7.750336326938535,51.13335,47.992315333333345,47.992315333333345,51.13335,47.99232300000001,-47.99232300000001,13781.936016023159,7252.875221794329,91.66666666666667,90.5,59536.63333333333,42760.5,-45.19560971342222,7.821888485784679
GA,30,1.0,30,1.0,-51.10961,-48.02677966666668,-50.942305000000005,4.138405555371231,51.10961,48.02677766666667,48.02677766666667,51.10961,48.02677966666668,-48.02677966666668,12442.366457169317,1005.2488350547048,100.86666666666666,107.5,120630.66666666667,136820.0,-43.25717940886602,5.497577868515271
ACO,30,1.0,30,1.0,-51.11765,-50.999705333333345,-51.018915,0.08953493807498833,51.11765,50.999705333333345,50.999705333333345,51.11765,50.999705333333345,-50.999705333333345,21691.4632057067,1911.0385587950582,170.0,151.5,66217.33333333333,46720.0,-48.06610170643007,1.0465943526889014
