comparison,p_value,n_pairs,holm_adjusted_p,holm_reject_0_05
ABC vs GWO,1.7343976282946372e-06,30,8.671988141473186e-06,1
ABC vs FA,2.8785992194357846e-06,30,8.671988141473186e-06,1
ABC vs PSO,0.2369361866168309,30,0.41177644611214803,0
ABC vs GA,0.20588822305607402,30,0.41177644611214803,0
ABC vs ACO,1.7343976282946372e-06,30,8.671988141473186e-06,1
