scope,comparison,n_pairs,wilcoxon_statistic,p_value_exact,holm_adjusted_p_exact,holm_reject_0_05,favours,p_value_normal_approx,holm_adjusted_p_normal_approx,approx_at_floor
SKY130-Hard,ABC vs GWO,30,0.0,1.862645149230957e-09,9.313225746154785e-09,1,GWO,1.7343976283205784e-06,8.671988141602892e-06,1
SKY130-Hard,ABC vs FA,30,5.0,1.862645149230957e-08,5.587935447692871e-08,1,ABC,2.878599219394298e-06,8.671988141602892e-06,0
SKY130-Hard,ABC vs PSO,30,175.0,0.24494642950594425,0.42586570605635643,0,PSO,0.2369361866168309,0.41177644611214803,0
SKY130-Hard,ABC vs GA,30,171.0,0.21293285302817822,0.42586570605635643,0,GA,0.20588822305607402,0.41177644611214803,0
SKY130-Hard,ABC vs ACO,30,0.0,1.862645149230957e-09,9.313225746154785e-09,1,ACO,1.7343976283205784e-06,8.671988141602892e-06,1
