experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,24,24042,ABC,903.6608767020141,96.33912329798588,1,0,35.86029280000366
pressure,frozen,12,24,24042,GWO,903.6663145543126,96.33368544568738,1,0,34.584723600011785
pressure,frozen,12,24,24042,FA,905.4223868755109,94.577613124489,1,0,82.01421330001904
pressure,frozen,12,24,24042,PSO,-91.69175728754612,91.69175728754612,0,1,19.355598800000735
pressure,frozen,12,24,24042,GA,903.6997822636333,96.3002177363667,1,0,49.61629759997595
pressure,frozen,12,24,24042,ACO,903.6621201208665,96.3378798791335,1,0,37.06907130003674
