experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,relaxed,12,7,7042,ABC,-115.79460641734622,115.79460641734622,0,1,45.44615919998614
pressure,relaxed,12,7,7042,GWO,-97.28422587381748,97.28422587381748,0,1,33.764609100006055
pressure,relaxed,12,7,7042,FA,-115.78432055784609,115.78432055784609,0,1,84.98509999999078
pressure,relaxed,12,7,7042,PSO,-115.36644275864352,115.36644275864352,0,1,21.33808489999501
pressure,relaxed,12,7,7042,GA,-113.17607770545689,113.17607770545689,0,1,43.530552999989595
pressure,relaxed,12,7,7042,ACO,-115.82888116509542,115.82888116509542,0,1,38.32766539999284
