experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,relaxed,12,14,14042,ABC,-96.43639614618897,96.43639614618897,0,1,45.91643959999783
pressure,relaxed,12,14,14042,GWO,-96.55219740024737,96.55219740024737,0,1,33.029008999990765
pressure,relaxed,12,14,14042,FA,-93.83199787744351,93.83199787744351,0,1,86.38944060000358
pressure,relaxed,12,14,14042,PSO,-94.502963121321,94.502963121321,0,1,21.50272649998078
pressure,relaxed,12,14,14042,GA,-94.09647082332923,94.09647082332923,0,1,41.265595700009726
pressure,relaxed,12,14,14042,ACO,-96.33826944750149,96.33826944750149,0,1,37.29246970004169
