experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,19,19042,ABC,-102.14502255048943,102.14502255048943,0,1,42.661605899978895
pressure,frozen,12,19,19042,GWO,903.669501584895,96.33049841510507,1,0,33.84568570001284
pressure,frozen,12,19,19042,FA,907.9757011205423,92.02429887945765,1,0,89.00183600001037
pressure,frozen,12,19,19042,PSO,-104.91399598873957,104.91399598873957,0,1,14.374825600010809
pressure,frozen,12,19,19042,GA,-104.8874370868353,104.8874370868353,0,1,44.492098499962594
pressure,frozen,12,19,19042,ACO,903.6621211875641,96.33787881243583,1,0,42.36300820001634
