experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,18,18042,ABC,-115.12253380806372,115.12253380806372,0,1,42.5948677000124
pressure,frozen,12,18,18042,GWO,-115.16464014825732,115.16464014825732,0,1,34.57284460001392
pressure,frozen,12,18,18042,FA,-100.17014723769185,100.17014723769185,0,1,91.22671969997464
pressure,frozen,12,18,18042,PSO,-113.35886250977461,113.35886250977461,0,1,13.725246799993329
pressure,frozen,12,18,18042,GA,-115.16431246634203,115.16431246634203,0,1,45.630084899952635
pressure,frozen,12,18,18042,ACO,-115.15426549600849,115.15426549600849,0,1,44.41740249999566
