experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,relaxed,12,8,8042,ABC,-111.38082247600072,111.38082247600072,0,1,45.97097509994637
pressure,relaxed,12,8,8042,GWO,-104.79662731789686,104.79662731789686,0,1,35.70926500001224
pressure,relaxed,12,8,8042,FA,-110.66905586990289,110.66905586990289,0,1,92.0447541999747
pressure,relaxed,12,8,8042,PSO,-111.21207520074212,111.21207520074212,0,1,22.083565499982797
pressure,relaxed,12,8,8042,GA,-111.38330160345062,111.38330160345062,0,1,42.890637499978766
pressure,relaxed,12,8,8042,ACO,-111.38331900258905,111.38331900258905,0,1,33.49373009998817
