experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,25,25042,ABC,-100.88837549522658,100.88837549522658,0,1,39.883186499995645
pressure,frozen,12,25,25042,GWO,903.6655351531622,96.33446484683788,1,0,35.9305519000045
pressure,frozen,12,25,25042,FA,892.8946012340099,107.10539876599007,1,0,75.23880349996034
pressure,frozen,12,25,25042,PSO,893.3748599842451,106.62514001575495,1,0,21.047740800015163
pressure,frozen,12,25,25042,GA,892.8275246988496,107.17247530115037,1,0,46.15557020000415
pressure,frozen,12,25,25042,ACO,903.6611464459954,96.33885355400452,1,0,35.59582919999957
