experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,relaxed,12,20,20042,ABC,-110.72975528657503,110.72975528657503,0,1,41.820549299998675
pressure,relaxed,12,20,20042,GWO,-101.5651613329177,101.5651613329177,0,1,34.74916760000633
pressure,relaxed,12,20,20042,FA,-101.5651613329177,101.5651613329177,0,1,161.96749170002295
pressure,relaxed,12,20,20042,PSO,-110.1084342170413,110.1084342170413,0,1,18.492520200030413
pressure,relaxed,12,20,20042,GA,-110.72433730015055,110.72433730015055,0,1,22.42503270000452
pressure,relaxed,12,20,20042,ACO,-110.72978099413416,110.72978099413416,0,1,20.264700200001244
