experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D7,7,7,7042,ABC,-104.61077200503503,104.61077200503503,0,1,18.80713949998608
dim,D7,7,7,7042,GWO,-104.26921167340822,104.26921167340822,0,1,15.257208100054413
dim,D7,7,7,7042,FA,-101.92032263184383,101.92032263184383,0,1,39.008765599981416
dim,D7,7,7,7042,PSO,-104.61077200503503,104.61077200503503,0,1,10.079454699996859
dim,D7,7,7,7042,GA,-104.61073805274219,104.61073805274219,0,1,19.86617820005631
dim,D7,7,7,7042,ACO,-104.27496704027587,104.27496704027587,0,1,18.430918500002008
