experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D7,7,2,2042,ABC,-111.75731730824114,111.75731730824114,0,1,18.52991690003546
dim,D7,7,2,2042,GWO,-104.03589342488645,104.03589342488645,0,1,15.436651700001676
dim,D7,7,2,2042,FA,-111.74987042213223,111.74987042213223,0,1,39.19562140002381
dim,D7,7,2,2042,PSO,-111.75731730824114,111.75731730824114,0,1,10.013295299955644
dim,D7,7,2,2042,GA,-111.75685124593858,111.75685124593858,0,1,19.88985199999297
dim,D7,7,2,2042,ACO,-111.75731730824113,111.75731730824113,0,1,18.584063899994362
