experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D16,16,14,14042,ABC,-92.96595117166108,92.96595117166108,0,1,19.476154499978293
dim,D16,16,14,14042,GWO,903.8190017329904,96.18099826700958,1,0,15.956039600016084
dim,D16,16,14,14042,FA,906.9687317895516,93.03126821044837,1,0,44.171163799997885
dim,D16,16,14,14042,PSO,903.6805701449831,96.31942985501685,1,0,19.60507340001641
dim,D16,16,14,14042,GA,905.8388043421268,94.16119565787324,1,0,51.54763990000356
dim,D16,16,14,14042,ACO,903.6614072021999,96.33859279780002,1,0,45.58717820001766
