experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D12,12,28,28042,ABC,-116.27586401100703,116.27586401100703,0,1,15.603624599985778
dim,D12,12,28,28042,GWO,-116.16992218273151,116.16992218273151,0,1,13.368661600048654
dim,D12,12,28,28042,FA,-116.21838341099331,116.21838341099331,0,1,36.540871599980164
dim,D12,12,28,28042,PSO,-115.25967292285958,115.25967292285958,0,1,9.533098399988376
dim,D12,12,28,28042,GA,-116.17616411655972,116.17616411655972,0,1,18.874006400001235
dim,D12,12,28,28042,ACO,-115.62002178374462,115.62002178374462,0,1,17.521711199951824
