experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D7,7,17,17042,ABC,-98.75365140095653,98.75365140095653,0,1,18.50907659996301
dim,D7,7,17,17042,GWO,-92.08639481435412,92.08639481435412,0,1,15.340088099997956
dim,D7,7,17,17042,FA,900.7486592616848,99.25134073831516,1,0,37.08868920005625
dim,D7,7,17,17042,PSO,-90.97788664752557,90.97788664752557,0,1,9.974974900018424
dim,D7,7,17,17042,GA,-91.12360572513133,91.12360572513133,0,1,19.96877229999518
dim,D7,7,17,17042,ACO,-98.36967094211354,98.36967094211354,0,1,18.285372900019865
