experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D7,7,8,8042,ABC,-102.85859970193913,102.85859970193913,0,1,18.552246100036427
dim,D7,7,8,8042,GWO,-101.30446739779566,101.30446739779566,0,1,15.426632100017741
dim,D7,7,8,8042,FA,895.7547785900797,104.24522140992026,1,0,35.82101529999636
dim,D7,7,8,8042,PSO,-102.17883594498349,102.17883594498349,0,1,10.036655300005805
dim,D7,7,8,8042,GA,-93.42683950889234,93.42683950889234,0,1,19.91162520000944
dim,D7,7,8,8042,ACO,-102.85859970195631,102.85859970195631,0,1,17.955335600010585
