experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D16,16,24,24042,ABC,903.6806160877768,96.31938391222322,1,0,19.519429299980402
dim,D16,16,24,24042,GWO,903.6700261507189,96.32997384928115,1,0,15.864190899999812
dim,D16,16,24,24042,FA,907.371165168144,92.62883483185598,1,0,47.56587310001487
dim,D16,16,24,24042,PSO,1906.7961507367384,93.20384926326166,2,0,20.630660300026648
dim,D16,16,24,24042,GA,1906.5756603823936,93.4243396176063,2,0,51.21536469995044
dim,D16,16,24,24042,ACO,903.6618403781075,96.3381596218925,1,0,40.32705139997415
