experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D7,7,1,1042,ABC,-111.15467741986767,111.15467741986767,0,1,18.76516609999817
dim,D7,7,1,1042,GWO,-111.1403103501005,111.1403103501005,0,1,15.453589399985503
dim,D7,7,1,1042,FA,-111.14287831096709,111.14287831096709,0,1,38.440745200030506
dim,D7,7,1,1042,PSO,-107.3996232971999,107.3996232971999,0,1,9.991755600029137
dim,D7,7,1,1042,GA,-111.15461658174098,111.15461658174098,0,1,20.42583280004328
dim,D7,7,1,1042,ACO,-111.15467741986765,111.15467741986765,0,1,18.441910499997903
