case,case_name,dim,run,seed,algo,pop,best_fitness,PSRR_DB,penalty,is_feasible,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,viol_vref,viol_tc,viol_loop_gain,viol_phase_margin,viol_gain_margin,viol_power,first_feasible_eval,best_feasible_found,best_feasible_fitness,best_feasible_PSRR,best_feasible_VREF,best_feasible_TC,best_feasible_LOOP_GAIN_DB,best_feasible_PHASE_MARGIN_DEG,best_feasible_GAIN_MARGIN_DB,best_feasible_POWER_UW,runtime_sec,eval_budget,actual_evals,last_improvement_eval,convergence_auc,sim_evals_worker_cum,sim_ok_worker_cum,sim_failures_worker_cum,server_restarts_worker_cum,psrr_def,PSRR_WC_DB,PSRR_100HZ_DB,best_feasible_PSRR_WC_DB,best_feasible_PSRR_100HZ_DB,evaluator_recovers_timeouts,x_w_pdiff,x_w_ncasc,x_w_pmir,x_w_core,x_l_all,x_iss,x_vbnv,xf_w_pdiff,xf_w_ncasc,xf_w_pmir,xf_w_core,xf_l_all,xf_iss,xf_vbnv,c_VREF_min,c_VREF_max,c_TC_max,c_LoopGain_min,c_PhaseMargin_min,c_GainMargin_min,c_Power_max
banba,SKY130-BGR-banba,7,18,330345,PSO,40,-57.08603,57.08603,0,1,0.8012484,19.4855,42.4034,65.621,20.0011,142.3519,0,0,0,0,0,0,142.0,1,-57.08603,57.08603,0.8012484,19.4855,42.4034,65.621,20.0011,142.3519,26995.994248129427,150000,150000,50436.0,-55.15308817001113,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,57.08603,57.08603,57.08603,57.08603,1,1.0,1.0,13.1,7.025,0.745,40.0,1.4576415824618012,1.0,1.0,13.1,7.025,0.745,40.0,1.4576415824618012,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,19,331345,PSO,40,-26.84427,26.84427,0,1,0.8007508,25.99606,40.314,80.1646,26.99,51.22935,0,0,0,0,0,0,94.0,1,-26.84427,26.84427,0.8007508,25.99606,40.314,80.1646,26.99,51.22935,48850.04686580598,150000,150000,142195.0,-25.012116002640017,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,26.84427,41.41706,26.84427,41.41706,1,2.125,1.0,7.0,7.96,7.685,8.386365067128773,0.9000016320052369,2.125,1.0,7.0,7.96,7.685,8.386365067128773,0.9000016320052369,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,20,332345,PSO,40,-26.86409,26.86409,0,1,0.8010574,25.99821,40.2437,80.8838,27.7662,49.88646,0,0,0,0,0,0,89.0,1,-26.86409,26.86409,0.8010574,25.99821,40.2437,80.8838,27.7662,49.88646,39161.021468132734,150000,150000,134419.0,-25.096678900126005,150001,149990,measure_failed=5;no_convergence=6,0,PSRR_worst_case_10Hz_10MHz,26.86409,40.95014,26.86409,40.95014,1,2.01,1.0,7.0,8.555,7.760000000000001,7.916066507277255,0.9002448419687292,2.01,1.0,7.0,8.555,7.760000000000001,7.916066507277255,0.9002448419687292,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,21,333345,PSO,40,-26.84628,26.84628,0,1,0.8010407,25.998,40.0017,81.2627,28.1823,48.92481,0,0,0,0,0,0,32.0,1,-26.84628,26.84628,0.8010407,25.998,40.0017,81.2627,28.1823,48.92481,46397.365842517465,150000,150000,126753.0,-26.7509570350469,150001,149996,measure_failed=2;no_convergence=3,0,PSRR_worst_case_10Hz_10MHz,26.84628,40.63002,26.84628,40.63002,1,2.005,1.0,7.0,8.844999999999999,8.0,7.582151116977486,0.9000033857330252,2.005,1.0,7.0,8.844999999999999,8.0,7.582151116977486,0.9000033857330252,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,22,334345,PSO,40,-56.51807,56.51807,0,1,0.8019804,15.74436,45.8939,66.664,20.0,99.03521,0,0,0,0,0,0,124.0,1,-56.51807,56.51807,0.8019804,15.74436,45.8939,66.664,20.0,99.03521,26611.10937773809,150000,150000,69013.0,-50.22613005423369,150001,149996,measure_failed=5,0,PSRR_worst_case_10Hz_10MHz,56.51807,56.51807,56.51807,56.51807,1,1.08,1.0,6.375,7.395,0.76,24.951471413096257,1.3852269131347326,1.08,1.0,6.375,7.395,0.76,24.951471413096257,1.3852269131347326,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,23,335345,PSO,40,-26.8461,26.8461,0,1,0.8006587,25.9998,40.0167,80.5411,27.3836,50.10865,0,0,0,0,0,0,8.0,1,-26.8461,26.8461,0.8006587,25.9998,40.0167,80.5411,27.3836,50.10865,38376.857913229614,150000,150000,82603.0,-26.791574100180668,150001,149997,measure_failed=3;no_convergence=1,0,PSRR_worst_case_10Hz_10MHz,26.8461,41.09092,26.8461,41.09092,1,2.1500000000000004,1.0,7.0,8.225000000000001,8.0,7.998120052393275,0.9000942471762853,2.1500000000000004,1.0,7.0,8.225000000000001,8.0,7.998120052393275,0.9000942471762853,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,24,336345,PSO,40,-55.0595,55.0595,0,1,0.8008234,19.85078,43.3,62.877,20.0004,142.3333,0,0,0,0,0,0,132.0,1,-55.0595,55.0595,0.8008234,19.85078,43.3,62.877,20.0004,142.3333,37548.21129201725,150000,150000,61828.0,-52.73326878732525,150001,150000,measure_failed=1,0,PSRR_worst_case_10Hz_10MHz,55.0595,55.0595,55.0595,55.0595,1,1.165,1.0,16.025,8.07,0.775,40.0,1.4810049525158306,1.165,1.0,16.025,8.07,0.775,40.0,1.4810049525158306,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,25,337345,PSO,40,-26.81295,26.81295,0,1,0.8004903,25.99922,40.0061,80.2377,27.0627,50.62365,0,0,0,0,0,0,40.0,1,-26.81295,26.81295,0.8004903,25.99922,40.0061,80.2377,27.0627,50.62365,47752.4575441666,150000,150000,103400.0,-26.709956359342392,150001,149994,measure_failed=5;no_convergence=2,0,PSRR_worst_case_10Hz_10MHz,26.81295,41.2748,26.81295,41.2748,1,2.21,1.0,7.0200000000000005,7.98,8.0,8.179091723650462,0.9000338842488749,2.21,1.0,7.0200000000000005,7.98,8.0,8.179091723650462,0.9000338842488749,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,26,338345,PSO,40,-26.8629,26.8629,0,1,0.8008508,25.99811,40.2434,80.4972,27.3383,50.54755,0,0,0,0,0,0,54.0,1,-26.8629,26.8629,0.8008508,25.99811,40.2434,80.4972,27.3383,50.54755,49530.537304047495,150000,150000,115057.0,-25.058782200714678,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,26.8629,41.19381,26.8629,41.19381,1,2.085,1.0,7.0,8.219999999999999,7.760000000000001,8.148271489738729,0.9,2.085,1.0,7.0,8.219999999999999,7.760000000000001,8.148271489738729,0.9,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,27,339345,PSO,40,-26.83064,26.83064,0,1,0.800587,25.99229,40.0021,80.4274,27.2661,50.30294,0,0,0,0,0,0,81.0,1,-26.83064,26.83064,0.800587,25.99229,40.0021,80.4274,27.2661,50.30294,40954.10580435395,150000,150000,143801.0,-25.09123604830032,150001,149996,measure_failed=5,0,PSRR_worst_case_10Hz_10MHz,26.83064,41.15552,26.83064,41.15552,1,2.17,1.0,7.005,8.120000000000001,8.0,8.066498183425903,0.9,2.17,1.0,7.005,8.120000000000001,8.0,8.066498183425903,0.9,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,28,340345,PSO,40,-26.85069,26.85057,1,0,0.8008244,26.00124,40.0004,80.8883,27.7552,49.55956,0,1,0,0,0,0,857.0,1,-26.85069,26.85069,0.8008244,25.99972,40.0001,80.8888,27.7557,49.55956,32088.02165690809,150000,150000,30151.0,-21.715012200548003,150001,149998,measure_failed=3,0,PSRR_worst_case_10Hz_10MHz,26.85057,40.87581,26.85069,40.87558,1,2.08,1.0,7.0,8.495000000000001,8.0,7.805327189024791,0.9,2.08,1.0,7.0,8.495000000000001,8.0,7.805327188492013,0.9,0.798,0.802,26.0,40.0,60.0,20.0,400.0
banba,SKY130-BGR-banba,7,29,341345,PSO,40,-57.59146,57.59072,0,1,0.8019691,16.83357,44.8224,67.621,20.0,102.9564,0,0,0,0,0,0,132.0,1,-57.59146,57.59146,0.8019691,16.83357,44.8223,67.621,20.0,102.9564,41650.01545334607,150000,150000,33306.0,-55.50864387242581,150001,150001,,0,PSRR_worst_case_10Hz_10MHz,57.59072,57.59072,57.59146,57.59146,1,1.0,1.0,6.495,6.825,0.735,26.311907606849687,1.3943977911179537,1.0,1.0,6.495,6.825,0.735,26.311907600343336,1.394397787284172,0.798,0.802,26.0,40.0,60.0,20.0,400.0
