algo,n_designs,nominal_feasible,nominal_rate,n_sims,sim_failures,sim_failure_rate,pvt_robust,pvt_robust_rate,mean_cond_passed_scored,mean_cond_passed_usable,n_usable,cond_feasible_rate_usable,median_worst_objective,worst_case_worst_objective
ABC,30,30,1.0,450,298,0.662222,0,0.0,1.2667,3.75,152,0.25,-200.0,-200.0
GWO,30,30,1.0,450,42,0.093333,0,0.0,3.2,3.5294,408,0.235294,-200.0,-200.0
FA,30,30,1.0,450,111,0.246667,0,0.0,2.7667,3.6726,339,0.244838,-200.0,-200.0
PSO,30,30,1.0,450,15,0.033333,0,0.0,4.6,4.7586,435,0.317241,28.5276,-200.0
GA,30,30,1.0,450,43,0.095556,0,0.0,3.8,4.2015,407,0.280098,-200.0,-200.0
ACO,30,30,1.0,450,294,0.653333,0,0.0,1.3333,3.8462,156,0.25641,-200.0,-200.0
