algo,run,conditions,n_feasible,worst_objective,worst_penalty,nominal_feasible,robust
ABC,0,15,0,-200.0,6,0,0
ABC,1,15,2,-200.0,6,0,0
ABC,2,15,1,-200.0,6,0,0
ABC,3,15,0,-200.0,6,0,0
ABC,4,15,0,-200.0,6,0,0
ABC,5,15,3,-200.0,6,0,0
ABC,6,15,3,-200.0,6,0,0
ABC,7,15,2,-200.0,6,0,0
ABC,8,15,0,-200.0,6,0,0
ABC,9,15,1,-200.0,6,0,0
ABC,10,15,1,-200.0,6,0,0
ABC,11,15,0,-200.0,6,0,0
ABC,12,15,1,-200.0,6,0,0
ABC,13,15,0,-200.0,6,0,0
ABC,14,15,3,-200.0,6,0,0
ABC,15,15,3,-200.0,6,0,0
ABC,16,15,0,-200.0,6,0,0
ABC,17,15,1,-200.0,6,0,0
ABC,18,15,1,-200.0,6,0,0
ABC,19,15,3,-200.0,6,0,0
ABC,20,15,1,-200.0,6,0,0
ABC,21,15,1,-200.0,6,0,0
ABC,22,15,0,-200.0,6,0,0
ABC,23,15,0,-200.0,6,0,0
ABC,24,15,0,-200.0,6,0,0
ABC,25,15,2,-200.0,6,0,0
ABC,26,15,0,-200.0,6,0,0
ABC,27,15,1,-200.0,6,0,0
ABC,28,15,1,-200.0,6,0,0
ABC,29,15,0,-200.0,6,0,0
ACO,0,15,0,-200.0,6,0,0
ACO,1,15,0,-200.0,6,0,0
ACO,2,15,2,-200.0,6,0,0
ACO,3,15,1,-200.0,6,0,0
ACO,4,15,1,-200.0,6,0,0
ACO,5,15,3,-200.0,6,0,0
ACO,6,15,2,-200.0,6,0,0
ACO,7,15,1,-200.0,6,0,0
ACO,8,15,0,-200.0,6,0,0
ACO,9,15,2,-200.0,6,0,0
ACO,10,15,1,-200.0,6,0,0
ACO,11,15,3,-200.0,6,0,0
ACO,12,15,1,-200.0,6,0,0
ACO,13,15,0,-200.0,6,0,0
ACO,14,15,1,-200.0,6,0,0
ACO,15,15,0,-200.0,6,0,0
ACO,16,15,1,-200.0,6,0,0
ACO,17,15,2,-200.0,6,0,0
ACO,18,15,0,-200.0,6,0,0
ACO,19,15,3,-200.0,6,0,0
ACO,20,15,2,-200.0,6,1,0
ACO,21,15,0,-200.0,6,0,0
ACO,22,15,0,-200.0,6,0,0
ACO,23,15,1,-200.0,6,0,0
ACO,24,15,1,-200.0,6,0,0
ACO,25,15,0,-200.0,6,0,0
ACO,26,15,3,-200.0,6,0,0
ACO,27,15,6,-200.0,6,0,0
ACO,28,15,0,-200.0,6,0,0
ACO,29,15,0,-200.0,6,0,0
FA,0,15,0,-200.0,6,0,0
FA,1,15,0,-200.0,6,0,0
FA,2,15,1,-200.0,6,1,0
FA,3,15,2,-200.0,6,0,0
FA,4,15,0,-200.0,6,0,0
FA,5,15,0,-200.0,6,0,0
FA,6,15,0,-200.0,6,0,0
FA,7,15,0,-200.0,6,0,0
FA,8,15,1,12.58026,3,1,0
FA,9,15,0,-200.0,6,0,0
FA,10,15,1,17.02579,3,0,0
FA,11,15,0,16.25266,3,0,0
FA,12,15,0,-1.17279,3,0,0
FA,13,15,0,-200.0,6,0,0
FA,14,15,4,-200.0,6,1,0
FA,15,15,2,-200.0,6,1,0
FA,16,15,0,14.28746,3,0,0
FA,17,15,0,-200.0,6,0,0
FA,18,15,0,7.667188,3,0,0
FA,19,15,1,-200.0,6,1,0
FA,20,15,0,10.80222,4,0,0
FA,21,15,2,-200.0,6,1,0
FA,22,15,0,17.57198,3,0,0
FA,23,15,3,13.58946,3,1,0
FA,24,15,1,18.69841,3,1,0
FA,25,15,2,15.685,3,1,0
FA,26,15,1,11.30746,3,1,0
FA,27,15,1,-200.0,6,1,0
FA,28,15,0,-200.0,6,0,0
FA,29,15,1,-200.0,6,1,0
GA,0,15,3,23.27884,3,1,0
GA,1,15,1,-200.0,6,1,0
GA,2,15,2,23.95223,3,1,0
GA,3,15,0,21.36854,3,0,0
GA,4,15,3,-200.0,6,0,0
GA,5,15,0,-200.0,6,0,0
GA,6,15,1,-200.0,6,0,0
GA,7,15,0,-200.0,6,0,0
GA,8,15,1,25.99874,3,1,0
GA,9,15,0,-200.0,6,0,0
GA,10,15,0,9.554812,3,0,0
GA,11,15,0,-200.0,6,0,0
GA,12,15,1,-200.0,6,1,0
GA,13,15,2,19.14192,3,1,0
GA,14,15,1,16.55709,3,1,0
GA,15,15,3,13.56855,3,1,0
GA,16,15,1,13.40249,3,1,0
GA,17,15,1,17.44313,3,1,0
GA,18,15,3,43.64875,2,1,0
GA,19,15,3,-200.0,6,1,0
GA,20,15,0,13.957,3,0,0
GA,21,15,0,-200.0,6,0,0
GA,22,15,0,-200.0,6,0,0
GA,23,15,0,-200.0,6,0,0
GA,24,15,1,43.97641,2,1,0
GA,25,15,1,-200.0,6,1,0
GA,26,15,0,-200.0,6,0,0
GA,27,15,1,-200.0,6,1,0
GA,28,15,1,-200.0,6,1,0
GA,29,15,1,-200.0,6,1,0
GWO,0,15,3,-200.0,6,1,0
GWO,1,15,1,-200.0,6,1,0
GWO,2,15,5,-200.0,6,1,0
GWO,3,15,2,-200.0,6,1,0
GWO,4,15,3,-200.0,6,1,0
GWO,5,15,3,-200.0,6,1,0
GWO,6,15,1,-200.0,6,1,0
GWO,7,15,2,-200.0,6,1,0
GWO,8,15,3,-200.0,6,1,0
GWO,9,15,3,23.2473,2,1,0
GWO,10,15,3,21.44703,2,1,0
GWO,11,15,2,-200.0,6,1,0
GWO,12,15,2,-200.0,6,1,0
GWO,13,15,1,-200.0,6,1,0
GWO,14,15,2,-200.0,6,1,0
GWO,15,15,3,-200.0,6,1,0
GWO,16,15,3,-200.0,6,1,0
GWO,17,15,2,-200.0,6,1,0
GWO,18,15,2,-200.0,6,1,0
GWO,19,15,1,-200.0,6,1,0
GWO,20,15,3,-200.0,6,1,0
GWO,21,15,2,-200.0,6,1,0
GWO,22,15,3,-200.0,6,0,0
GWO,23,15,0,-200.0,6,0,0
GWO,24,15,4,-200.0,6,1,0
GWO,25,15,2,-200.0,6,1,0
GWO,26,15,2,-200.0,6,1,0
GWO,27,15,2,-200.0,6,1,0
GWO,28,15,3,-200.0,6,1,0
GWO,29,15,1,-200.0,6,1,0
PSO,0,15,1,-200.0,6,1,0
PSO,1,15,2,-200.0,6,1,0
PSO,2,15,0,-200.0,6,0,0
PSO,3,15,1,18.10488,3,1,0
PSO,4,15,0,16.96043,4,0,0
PSO,5,15,1,22.14047,3,1,0
PSO,6,15,1,40.89807,3,1,0
PSO,7,15,2,-200.0,6,1,0
PSO,8,15,4,31.91694,2,1,0
PSO,9,15,1,9.380521,3,1,0
PSO,10,15,0,-200.0,6,0,0
PSO,11,15,1,29.84092,3,1,0
PSO,12,15,0,16.03949,3,0,0
PSO,13,15,1,-200.0,6,1,0
PSO,14,15,3,32.4217,2,1,0
PSO,15,15,0,-200.0,6,0,0
PSO,16,15,1,-200.0,6,1,0
PSO,17,15,0,-200.0,6,0,0
PSO,18,15,1,-200.0,6,1,0
PSO,19,15,1,1.169605,4,1,0
PSO,20,15,0,-200.0,6,0,0
PSO,21,15,1,-200.0,6,1,0
PSO,22,15,0,-200.0,6,0,0
PSO,23,15,1,-200.0,6,1,0
PSO,24,15,0,-200.0,6,0,0
PSO,25,15,1,11.27649,3,1,0
PSO,26,15,1,-200.0,6,1,0
PSO,27,15,1,-200.0,6,1,0
PSO,28,15,0,-200.0,6,0,0
PSO,29,15,1,-200.0,6,1,0
