algo,n_designs,nominal_feasible,nominal_rate,pvt_robust,pvt_robust_rate,lost_to_pvt,mean_conditions_passed,median_worst_objective,worst_case_worst_objective
ABC,30,0,0.0,0,0.0,0,1.0333333333333334,-200.0,-200.0
GWO,30,28,0.9333333333333333,0,0.0,28,2.3,-200.0,-200.0
FA,30,12,0.4,0,0.0,12,0.7666666666666667,-200.0,-200.0
PSO,30,20,0.6666666666666666,0,0.0,20,0.9,-200.0,-200.0
GA,30,17,0.5666666666666667,0,0.0,17,1.0333333333333334,-200.0,-200.0
ACO,30,1,0.03333333333333333,0,0.0,1,1.2333333333333334,-200.0,-200.0
