algo,runs,success_rate,feasible_runs,ever_feasible_rate,best_fitness_min,best_fitness_mean,best_fitness_median,best_fitness_std,PSRR_best_final,PSRR_mean_final,PSRR_mean_feasible_final,best_feasible_PSRR_max,best_feasible_PSRR_mean,best_feasible_fitness_mean,runtime_sec_mean,runtime_sec_std,first_feasible_eval_mean,first_feasible_eval_median,last_improvement_eval_mean,last_improvement_eval_median,convergence_auc_mean,convergence_auc_std
ABC,30,1.0,30,1.0,-52.04175,-50.58467466666666,-50.41284,0.6706682017815663,52.04175,50.58467466666666,50.58467466666666,52.04175,50.58467466666666,-50.58467466666666,58588.42851558452,4293.5925531895355,77.2,25.5,94460.2,102981.0,-48.73006229423451,1.4874854343866621
GWO,30,1.0,30,1.0,-59.98854,-51.030194000000016,-58.377185,12.373535622959409,59.98854,51.030194000000016,51.030194000000016,59.98854,51.030194000000016,-51.030194000000016,61805.13878988959,7324.41179916855,32.3,25.5,115902.66666666667,148060.0,-40.155452883266655,8.729568054167462
FA,30,1.0,30,1.0,-49.19529,-23.29174966666666,-22.06504,9.949088207455368,49.19529,23.29174966666666,23.29174966666666,49.19529,23.29174966666666,-23.29174966666666,29835.955551155283,12464.751045770234,87.96666666666667,25.5,15093.4,15311.5,-22.422884127828286,10.343627645886915
PSO,30,0.9,27,1.0,-59.60486,-25.35738866666667,-21.345734999999998,11.571333344967503,59.60486,25.35739366666667,25.805675925925932,59.60486,25.35738866666667,-25.35738866666667,57279.85126718606,9855.870493171284,37.0,25.5,86827.63333333333,88080.0,-24.674957731814533,11.396491868998824
GA,30,1.0,30,1.0,-59.1126,-40.36344533333334,-51.411185,16.812513695062385,59.1126,40.36344533333334,40.36344533333334,59.1126,40.36344533333334,-40.36344533333334,51633.60067923355,8289.558619425145,37.7,25.5,129377.33333333333,137580.0,-38.943125315374985,16.226523182970112
ACO,30,0.8333333333333334,25,1.0,-60.39413,-22.85767566666667,-21.33885,7.1065270103959675,60.39413,22.85767566666667,23.1616092,60.39413,22.85767566666667,-22.85767566666667,62044.82832611936,7028.633760499228,48.233333333333334,27.5,79532.0,70260.0,-22.13592153016986,6.343140494975323
