comparison,p_value,n_pairs,favours,holm_adjusted_p,holm_reject_0_05
ABC vs GWO,0.6883592982254605,30,GWO,0.6883592982254605,0
ABC vs FA,1.7343976282946372e-06,30,ABC,8.671988141473186e-06,1
ABC vs PSO,3.1816794109351676e-06,30,ABC,9.545038232805503e-06,1
ABC vs GA,0.10201069524998863,30,ABC,0.20402139049997725,0
ABC vs ACO,1.9209211048476504e-06,30,ABC,8.671988141473186e-06,1
