scope,algo,avg_rank
SKY130-BGR,GWO,1.7333333333333334
SKY130-BGR,ABC,2.4
SKY130-BGR,GA,3.033333333333333
SKY130-BGR,PSO,4.4
SKY130-BGR,ACO,4.5
SKY130-BGR,FA,4.933333333333334
