algo,n_designs,nominal_feasible,nominal_rate,pvt_robust,pvt_robust_rate,lost_to_pvt,mean_conditions_passed,median_worst_objective,worst_case_worst_objective
ABC,30,0,0.0,0,0.0,0,0.16666666666666666,-200.0,-200.0
GWO,30,30,1.0,0,0.0,30,2.0,26.5015,-200.0
FA,30,29,0.9666666666666667,0,0.0,29,2.033333333333333,18.284,-200.0
PSO,30,29,0.9666666666666667,0,0.0,29,1.5666666666666667,27.49263,21.30696
GA,30,30,1.0,0,0.0,30,2.1333333333333333,28.427325,-200.0
ACO,30,11,0.36666666666666664,0,0.0,11,0.6333333333333333,-200.0,-200.0
