comparison,p_value,n_pairs,favours,holm_adjusted_p,holm_reject_0_05
ABC vs GWO,0.008729667753602288,30,ABC,0.008729667753602288,1
ABC vs FA,2.3534209950826224e-06,30,ABC,9.604605524238252e-06,1
ABC vs PSO,6.892290296833803e-05,30,ABC,0.0002067687089050141,1
ABC vs GA,0.00022248266458080312,30,ABC,0.00044496532916160625,1
ABC vs ACO,1.9209211048476504e-06,30,ABC,9.604605524238252e-06,1
