algo,avg_rank,median_rank
ABC,2.066666666666667,2.0
GWO,2.1666666666666665,2.0
FA,4.966666666666667,6.0
PSO,3.8666666666666667,4.0
GA,4.0,4.5
ACO,3.933333333333333,4.0
