algo,runs,min,mean,median,std,max
ABC,30,-55.5107,-55.02392933333333,-55.029830000000004,0.26658454201419773,-54.2622
GWO,30,-55.83102,-55.722051,-55.735699999999994,0.10506862494218323,-55.34716
FA,30,-54.36547,-42.39199633333333,-44.38193,9.35408119704589,-25.28316
PSO,30,-55.94965,-54.506928333333335,-54.35952,1.9403244436541933,-44.92579
GA,30,-55.73138,-53.394318,-54.56736,3.258904087553319,-44.68323
ACO,30,-55.81041,-55.663699333333334,-55.73483,0.25435582639332166,-54.37076
