comparison,p_value,n_pairs,holm_adjusted_p,holm_reject_0_05
ABC vs GWO,1.7343976282946372e-06,30,8.671988141473186e-06,1
ABC vs FA,1.7343976282946372e-06,30,8.671988141473186e-06,1
ABC vs PSO,0.07190333008390948,30,0.07190333008390948,0
ABC vs GA,0.013194169865413996,30,0.026388339730827992,1
ABC vs ACO,1.798848069178849e-05,30,5.3965442075365466e-05,1
