scope,comparison,n_pairs,wilcoxon_statistic,p_value_exact,holm_adjusted_p_exact,holm_reject_0_05,favours,p_value_normal_approx,holm_adjusted_p_normal_approx,approx_at_floor
SKY130-Base,ABC vs GWO,30,0.0,1.862645149230957e-09,9.313225746154785e-09,1,GWO,1.7343976283205784e-06,8.671988141602892e-06,1
SKY130-Base,ABC vs FA,30,0.0,1.862645149230957e-09,9.313225746154785e-09,1,ABC,1.7343976283205784e-06,8.671988141602892e-06,1
SKY130-Base,ABC vs PSO,30,145.0,0.07324407435953617,0.07324407435953617,0,ABC,0.07190333008390941,0.07190333008390941,0
SKY130-Base,ABC vs GA,30,112.0,0.012047622352838516,0.024095244705677032,1,ABC,0.01319416986541395,0.0263883397308279,0
SKY130-Base,ABC vs ACO,30,24.0,1.4193356037139893e-06,4.258006811141968e-06,1,ACO,1.798848069179905e-05,5.396544207539715e-05,0
