scope,algo,avg_rank
SKY130-BGR,GWO,1.4666666666666666
SKY130-BGR,ACO,1.8666666666666667
SKY130-BGR,ABC,3.8333333333333335
SKY130-BGR,PSO,3.8666666666666667
SKY130-BGR,GA,4.166666666666667
SKY130-BGR,FA,5.8
