algo,avg_rank,median_rank
ABC,3.8333333333333335,4.0
GWO,1.4666666666666666,1.0
FA,5.8,6.0
PSO,3.8666666666666667,4.0
GA,4.166666666666667,4.0
ACO,1.8666666666666667,2.0
